STATE,FIPS,2020/7/5,2020/7/12,2020/7/19,2020/7/26,2020/8/2,2020/8/9,2020/8/16,2020/8/23,2020/8/30,2020/9/6,2020/9/13,2020/9/20,2020/9/27,2020/10/4,2020/10/11,2020/10/18,2020/10/25,2020/11/1,2020/11/8,2020/11/15,2020/11/22,2020/11/29,2020/12/6,2020/12/13,2020/12/20,2020/12/27,2021/1/3,2021/1/10,2021/1/17,2021/1/24,2021/1/31,2021/2/7,2021/2/14,2021/2/21,2021/2/28,2021/3/7,2021/3/14,2021/3/21,2021/3/28,2021/4/4,2021/4/11,2021/4/18,2021/4/25,2021/5/2,2021/5/9,2021/5/16,2021/5/23,2021/5/30,2021/6/6,2021/6/13,2021/6/20,2021/6/27,2021/7/4,2021/7/11,2021/7/18,2021/7/25,2021/8/1,2021/8/8,2021/8/15,2021/8/22,2021/8/29,2021/9/5,2021/9/12,2021/9/19,2021/9/26,2021/10/3,2021/10/10,2021/10/17,2021/10/24,2021/10/31,2021/11/7,2021/11/14,2021/11/21,2021/11/28,2021/12/5,2021/12/12,2021/12/19,2021/12/26,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27
AL,1,9586,13379,12007,12111,9555,7072,7883,9346,6759,6252,6412,7387,7216,6517,7439,11694,9782,9905,12326,14867,14287,22597,25253,27071,23578,26010,29693,21555,18762,16145,15758,8645,6146,6824,6790,3926,7823,3108,2599,2150,3658,3903,2436,2454,9123,2124,1499,2187,1774,1359,1309,1377,3309,4874,9654,16476,21602,20696,31845,28268,31262,26535,22489,18936,12379,7689,6005,6137,11605,4302,3976,3416,2396,3239,3874,5350,10794,28529,61766,38442,38442,67054,36112,19599,10231,6409,3959,6067,2206,1345,2982
AZ,4,25368,21337,18790,16981,9118,6555,5244,3436,4232,2634,5448,3288,3584,4585,5493,6354,9181,11438,15669,22282,27441,36126,43688,45950,44810,46107,68197,59557,48456,38029,25739,16257,10837,9550,9416,7372,4149,3668,4535,5185,4074,5035,5496,4818,4189,3960,4081,2932,3309,3018,3398,3814,4121,5482,9597,11575,16181,18994,20365,22989,21596,18477,18513,17444,18378,16252,15557,16364,17752,20417,24856,26939,24332,25660,24725,21103,20650,35000,71927,100574,101077,108211,66750,34651,16834,13978,3862,6566,5153,4566,10143
AR,5,4046,4608,5195,4839,5259,4223,4149,4101,4006,4698,5351,5389,5656,5743,6149,6813,6832,9003,10987,11164,11010,14559,14400,15964,13962,17560,20172,18377,12695,11459,11624,6684,2658,4032,5036,2247,1749,1571,1269,1077,1352,1238,1343,1441,1271,1368,1202,1054,1527,1616,1774,3304,4814,7061,11605,11988,16107,15193,15215,14302,13990,10928,10324,7498,5855,4838,4171,3399,3014,2968,3454,4250,3223,5582,5039,4852,6562,19748,34606,36454,39221,31250,23063,11746,7414,4558,3764,3142,3517,2426,572
CA,6,61255,62559,66900,57986,46556,65529,41876,36288,32462,23055,24022,24661,23643,23561,21937,31776,29836,41867,57123,89094,101650,155689,225066,310549,281285,286034,295673,280061,172666,139187,98953,70858,46850,38743,31353,24740,20692,18785,18909,22999,18501,15085,14054,13141,11294,8978,12609,6355,7120,6848,10441,8213,13418,27308,44393,59486,96243,88507,108122,95514,96895,68120,68290,41568,52056,42429,37309,40259,43394,44090,44358,32278,24645,45833,47302,48222,89586,232827,416448,448906,451953,550491,317226,197108,102476,66358,43007,31128,29545,23886,18696
CO,8,3801,3779,3501,2752,2385,2020,2130,2002,2238,2917,4106,4324,5019,7048,8937,11878,18183,30771,36595,37478,29755,33860,23041,17585,13479,16041,16776,12231,10264,9167,8416,7604,7346,7049,6791,7015,7003,8070,10056,11458,11142,11770,11086,8819,6848,5017,3766,2943,2277,2004,2227,2459,2950,3534,4730,6076,7707,8751,11257,12287,13409,13190,13295,12593,14342,15281,14880,17473,20633,23236,24713,22103,16403,17976,12305,13687,33762,65910,68627,70828,75695,45197,22425,12138,7039,4163,3346,2724,2335,2136,2401
CT,9,555,608,916,1015,518,599,637,1086,874,954,1187,1049,1710,1760,2790,3210,5151,6852,10348,12737,10947,14955,18801,16414,9979,17337,15788,17379,14425,12173,9313,7919,5731,6809,5375,5223,6077,8489,8716,7608,7495,5658,4452,3478,2251,1348,1015,552,465,326,457,360,493,714,1357,2288,3726,3752,4006,4828,4422,3768,5390,3386,3318,2931,3108,3107,2344,2381,2768,5151,5535,6758,14046,16087,18887,35468,35468,35886,33955,24300,10039,6709,6415,3024,2441,4841,2158,2308,3072
DE,10,714,650,737,663,603,878,419,556,577,673,726,694,1368,872,944,905,1104,1306,2134,2922,3339,4439,5782,5234,4333,4388,5587,4888,4530,3627,2282,2834,1857,1981,1621,2013,1784,1757,2375,2125,2570,2144,1693,1323,924,1405,487,300,251,209,129,189,173,320,389,677,1151,1626,2273,2462,2813,2830,3212,3209,3129,3041,2572,2157,1874,1640,1884,2588,2348,3515,4122,4727,6569,12248,13175,13175,13370,8444,3781,2529,1650,1494,735,843,571,589,663
DC,11,354,393,523,488,448,506,375,391,313,255,409,313,258,445,416,372,560,625,923,1147,1347,1564,1771,1699,1368,1799,1948,2080,1540,1585,1215,919,757,925,795,1159,743,876,881,830,817,640,478,467,366,197,171,170,111,64,62,73,77,197,321,425,705,1098,1141,1214,1362,1048,1885,1354,1126,1371,274,612,652,559,572,657,482,920,1272,2517,8346,8346,8346,8346,5329,2617,1726,1533,877,629,352,545,529,570,564
FL,12,64381,82950,76825,65463,45814,42202,27887,21267,24807,17825,19110,17377,15826,14258,23483,23883,26212,34684,37740,56576,52983,64132,68896,76371,71305,90267,109746,95368,79722,73637,57739,50565,41953,39928,37188,32216,31274,34703,38166,41692,43448,41835,35077,27799,23046,18834,12631,12070,11454,10098,11051,15684,23801,45449,73166,110725,134751,151765,150736,151760,129206,100248,75997,54108,37302,25184,18807,14564,12151,10504,10302,9891,0,19558,12984,28841,124864,229480,292863,306516,284405,197626,131698,122428,42373,25523,14559,10281,0,16741,0
GA,13,18845,21663,22541,23315,22337,20912,17530,16146,13732,11022,11855,9788,8432,8990,10267,10454,10787,40616,18391,23220,19766,30147,37430,43111,44136,54436,61410,60180,52485,43364,31771,24810,20443,20951,17066,11444,11238,11065,9753,9304,10409,9316,8406,7842,5708,4522,3721,2603,3058,2461,2309,2442,3831,6385,11357,20942,30801,40045,52676,60859,61495,49238,39653,31613,23465,19902,12873,9693,8676,7837,7058,7866,4694,9773,10224,12589,40547,76857,84102,90172,95443,101610,52942,30493,17328,10765,7451,6316,5951,3548,14365
ID,16,3136,3800,3528,3284,3383,2980,2189,2010,1261,2243,2067,3053,3412,4006,4879,6115,5874,7700,9011,9526,8713,10043,10940,8563,6710,6416,7043,6044,4049,3366,2530,2277,1669,2003,1793,2308,2191,2011,1758,1973,1632,1422,1478,1137,1124,1160,945,788,728,495,688,488,661,1026,1370,2260,3607,3962,4886,4948,7648,8045,8446,8537,9457,8472,8417,8054,6268,5078,3552,3466,2477,3111,2824,2278,1761,3657,7643,11909,15016,16469,13346,12072,11592,9127,8863,5590,4036,1542,686
IL,17,6368,7696,9281,10602,12246,11893,13773,13070,16833,11761,12962,13445,13783,16389,23383,30355,40137,67626,84896,83240,66532,67224,61677,52660,39755,41415,48695,40628,33851,25418,20428,16255,12335,12643,11838,10610,12587,15178,18618,22647,22759,19427,18890,15379,11813,9594,6529,3872,2424,1450,1782,2177,2977,4457,7985,11694,16731,21323,24661,25628,30317,26053,25909,21768,18670,19222,15782,15157,14681,17468,22614,28287,21044,50167,49665,59249,77261,128203,143313,156463,156413,119549,60384,30015,26239,13019,10604,8583,7483,8101,8456
